Model,Info,Optimizer,Alpha,Seeds,Num runs,final_val_accuracy_mean,final_val_accuracy_std,final_val_loss_mean,final_val_loss_std,best_val_accuracy_mean,best_val_accuracy_std,best_val_loss_mean,best_val_loss_std
densenet121,Ours,fosgd_am,0.9,0 1 2,3,95.02,0.108012345,0.2160891134,0.007711343495,95.11,0.108012345,0.2152933467,0.007661829807
densenet121,,fosgd_am,0.99,0 1 2,3,95.14666667,0.04496912521,0.2379980676,0.002283062563,95.19666667,0.06798692685,0.236743668,0.002280324874
densenet121,,fosgd_am,0.999,0 1 2,3,95.07333333,0.04496912521,0.2356808323,0.003755896116,95.14,0.03559026084,0.2340350716,0.002561899725
densenet121,,fosgd_am,1.001,0 1 2,3,95.13,0.08286535263,0.2394828124,0.009410148675,95.24333333,0.05792715732,0.2377218559,0.009341923418
densenet121,,fosgd_am_fix_momentum_0.9,0.9,0 1 2,3,94.75,0.2372059583,0.2367511766,0.004925517238,94.82666667,0.2129684379,0.2350013943,0.004751053426
densenet121,,fosgd_am_fix_momentum_0.9,0.99,0 1 2,3,94.71,0.05887840578,0.2656459302,0.008111021749,94.79,0.03559026084,0.2643622104,0.008262139563
densenet121,,fosgd_am_fix_momentum_0.9,0.999,0 1 2,3,94.91333333,0.04109609335,0.2634035536,0.0007345678679,94.97333333,0.01699673171,0.2613326919,0.0009288198681
densenet121,,fosgd_am_fix_momentum_0.9,1.001,0 1 2,3,94.74666667,0.1053037933,0.2694417559,0.005852044105,94.87333333,0.118977122,0.2675305103,0.006437799218
densenet121,Algorithm 2,fosgdmr,0.9,0 1 2,3,90.56333333,0.1249888884,0.4273644808,0.004341538266,90.67,0.108012345,0.4252941191,0.004695687989
densenet121,,fosgdmr,0.99,0 1 2,3,94.13,0.266958174,0.2603825012,0.01379883216,94.21,0.2434474618,0.2576834728,0.01573129042
densenet121,,fosgdmr,0.999,0 1 2,3,94.33,0.186726181,0.2466799354,0.00684435493,94.41666667,0.1488474237,0.244936547,0.00738701154
densenet121,,fosgdmr,1.001,0 1 2,3,94.28666667,0.08259674462,0.2536516244,0.00265573132,94.39,0.06683312552,0.2509135242,0.003300536325
densenet121,,fosgdmr,"[0.8, 0.999]",0 1 2,3,88.86333333,0.1033870828,0.5217918362,0.005774355769,88.91666667,0.110855261,0.4845614381,0.00901759324
densenet121,,fosgdmr,"[0.9, 0.999]",0 1 2,3,91.93,0.07483314774,0.3571850895,0.005232329991,92.02666667,0.1396026106,0.3547951173,0.003744399877
densenet121,,fosgdmr,"[0.99, 0.999]",0 1 2,3,94.14,0.1529705854,0.2510695087,0.01032165648,94.20666667,0.1649915823,0.2488020938,0.01052723295
densenet121,Algorithm 1,fosgdr,0.9,0 1 2,3,91.45333333,0.1915434386,0.3795713198,0.008049181564,91.58333333,0.1915434386,0.3758885731,0.008476170032
